month,metric,orientation,units,value,source_label,excel_row
jan,exterior_temperature,,degF,28.768546688,Exterior temperature,26
feb,exterior_temperature,,degF,33.088546688,Exterior temperature,26
mar,exterior_temperature,,degF,39.568546688,Exterior temperature,26
apr,exterior_temperature,,degF,46.948546688,Exterior temperature,26
may,exterior_temperature,,degF,56.488546688,Exterior temperature,26
jun,exterior_temperature,,degF,65.848546688,Exterior temperature,26
jul,exterior_temperature,,degF,69.808546688,Exterior temperature,26
aug,exterior_temperature,,degF,67.828546688,Exterior temperature,26
sep,exterior_temperature,,degF,60.808546688,Exterior temperature,26
oct,exterior_temperature,,degF,49.288546688,Exterior temperature,26
nov,exterior_temperature,,degF,37.048546688,Exterior temperature,26
dec,exterior_temperature,,degF,28.228546688,Exterior temperature,26
jan,solar_radiation,north,kWh/ft2,1.76515775946,Radiation North,27
feb,solar_radiation,north,kWh/ft2,1.9509638394,Radiation North,27
mar,solar_radiation,north,kWh/ft2,2.69418815918,Radiation North,27
apr,solar_radiation,north,kWh/ft2,3.25160639901,Radiation North,27
may,solar_radiation,north,kWh/ft2,4.64515199858,Radiation North,27
jun,solar_radiation,north,kWh/ft2,5.85289151821,Radiation North,27
jul,solar_radiation,north,kWh/ft2,4.92386111849,Radiation North,27
aug,solar_radiation,north,kWh/ft2,3.90192767881,Radiation North,27
sep,solar_radiation,north,kWh/ft2,2.97289727909,Radiation North,27
oct,solar_radiation,north,kWh/ft2,2.41547903926,Radiation North,27
nov,solar_radiation,north,kWh/ft2,1.85806079943,Radiation North,27
dec,solar_radiation,north,kWh/ft2,1.57935167952,Radiation North,27
jan,solar_radiation,east,kWh/ft2,5.48127935832,Radiation East,28
feb,solar_radiation,east,kWh/ft2,6.8748249579,Radiation East,28
mar,solar_radiation,east,kWh/ft2,9.38320703713,Radiation East,28
apr,solar_radiation,east,kWh/ft2,11.3341708765,Radiation East,28
may,solar_radiation,east,kWh/ft2,12.3561043162,Radiation East,28
jun,solar_radiation,east,kWh/ft2,13.5638438359,Radiation East,28
jul,solar_radiation,east,kWh/ft2,12.0773951963,Radiation East,28
aug,solar_radiation,east,kWh/ft2,11.3341708765,Radiation East,28
sep,solar_radiation,east,kWh/ft2,10.6838495967,Radiation East,28
oct,solar_radiation,east,kWh/ft2,7.5251462377,Radiation East,28
nov,solar_radiation,east,kWh/ft2,6.50321279801,Radiation East,28
dec,solar_radiation,east,kWh/ft2,4.92386111849,Radiation East,28
jan,solar_radiation,south,kWh/ft2,13.6567468758,Radiation South,29
feb,solar_radiation,south,kWh/ft2,13.2851347159,Radiation South,29
mar,solar_radiation,south,kWh/ft2,14.0283590357,Radiation South,29
apr,solar_radiation,south,kWh/ft2,10.6838495967,Radiation South,29
may,solar_radiation,south,kWh/ft2,8.54707967739,Radiation South,29
jun,solar_radiation,south,kWh/ft2,7.24643711778,Radiation South,29
jul,solar_radiation,south,kWh/ft2,7.5251462377,Radiation South,29
aug,solar_radiation,south,kWh/ft2,9.29030399716,Radiation South,29
sep,solar_radiation,south,kWh/ft2,12.0773951963,Radiation South,29
oct,solar_radiation,south,kWh/ft2,14.3999711956,Radiation South,29
nov,solar_radiation,south,kWh/ft2,14.5857772755,Radiation South,29
dec,solar_radiation,south,kWh/ft2,14.1212620757,Radiation South,29
jan,solar_radiation,west,kWh/ft2,5.85289151821,Radiation West,30
feb,solar_radiation,west,kWh/ft2,6.78192191793,Radiation West,30
mar,solar_radiation,west,kWh/ft2,10.1264313569,Radiation West,30
apr,solar_radiation,west,kWh/ft2,11.1483647966,Radiation West,30
may,solar_radiation,west,kWh/ft2,12.3561043162,Radiation West,30
jun,solar_radiation,west,kWh/ft2,11.7986860764,Radiation West,30
jul,solar_radiation,west,kWh/ft2,11.6128799965,Radiation West,30
aug,solar_radiation,west,kWh/ft2,10.4980435168,Radiation West,30
sep,solar_radiation,west,kWh/ft2,9.56901311707,Radiation West,30
oct,solar_radiation,west,kWh/ft2,8.63998271736,Radiation West,30
nov,solar_radiation,west,kWh/ft2,6.31740671807,Radiation West,30
dec,solar_radiation,west,kWh/ft2,5.38837631835,Radiation West,30
jan,solar_radiation,horizontal,kWh/ft2,8.26837055747,Horizontal radiation,31
feb,solar_radiation,horizontal,kWh/ft2,10.2193343969,Horizontal radiation,31
mar,solar_radiation,horizontal,kWh/ft2,15.2360985553,Horizontal radiation,31
apr,solar_radiation,horizontal,kWh/ft2,18.2089958344,Horizontal radiation,31
may,solar_radiation,horizontal,kWh/ft2,21.4606022334,Horizontal radiation,31
jun,solar_radiation,horizontal,kWh/ft2,21.7393113534,Horizontal radiation,31
jul,solar_radiation,horizontal,kWh/ft2,20.9031839936,Horizontal radiation,31
aug,solar_radiation,horizontal,kWh/ft2,18.8593171142,Horizontal radiation,31
sep,solar_radiation,horizontal,kWh/ft2,15.6077107152,Horizontal radiation,31
oct,solar_radiation,horizontal,kWh/ft2,12.4490073562,Horizontal radiation,31
nov,solar_radiation,horizontal,kWh/ft2,9.29030399716,Horizontal radiation,31
dec,solar_radiation,horizontal,kWh/ft2,7.98966143756,Horizontal radiation,31
jan,dew_point_temperature,,degF,15.98,Dew point temperature,32
feb,dew_point_temperature,,degF,17.96,Dew point temperature,32
mar,dew_point_temperature,,degF,19.04,Dew point temperature,32
apr,dew_point_temperature,,degF,20.84,Dew point temperature,32
may,dew_point_temperature,,degF,26.6,Dew point temperature,32
jun,dew_point_temperature,,degF,33.08,Dew point temperature,32
jul,dew_point_temperature,,degF,47.3,Dew point temperature,32
aug,dew_point_temperature,,degF,47.66,Dew point temperature,32
sep,dew_point_temperature,,degF,40.64,Dew point temperature,32
oct,dew_point_temperature,,degF,30.56,Dew point temperature,32
nov,dew_point_temperature,,degF,21.92,Dew point temperature,32
dec,dew_point_temperature,,degF,17.06,Dew point temperature,32
jan,sky_temperature,,degF,-5.8,Sky temperature,33
feb,sky_temperature,,degF,-2.56,Sky temperature,33
mar,sky_temperature,,degF,0.68,Sky temperature,33
apr,sky_temperature,,degF,4.28,Sky temperature,33
may,sky_temperature,,degF,13.46,Sky temperature,33
jun,sky_temperature,,degF,23.18,Sky temperature,33
jul,sky_temperature,,degF,37.4,Sky temperature,33
aug,sky_temperature,,degF,36.68,Sky temperature,33
sep,sky_temperature,,degF,27.86,Sky temperature,33
oct,sky_temperature,,degF,15.62,Sky temperature,33
nov,sky_temperature,,degF,2.48,Sky temperature,33
dec,sky_temperature,,degF,-5.44,Sky temperature,33
