metric_group,end_use,variant_id,units,value,source_field_id,source_label,excel_row
site_energy,heating,code_minumum,kWh,27531.2813493,site_energy.heating,Heating,423
site_energy,cooling,code_minumum,kWh,1033.74050942,site_energy.cooling,Cooling,424
site_energy,dhw,code_minumum,kWh,2105.63244266,site_energy.dhw,DHW,425
site_energy,dishwashing,code_minumum,kWh,330.83875,site_energy.dishwashing,Dishwashing,426
site_energy,clothes_washing,code_minumum,kWh,433.458675,site_energy.clothes_washing,Clothes Washing,427
site_energy,clothes_drying,code_minumum,kWh,12.3769125,site_energy.clothes_drying,Clothes Drying,428
site_energy,refrigerator,code_minumum,kWh,730,site_energy.refrigerator,Refrigerator,429
site_energy,cooking,code_minumum,kWh,0,site_energy.cooking,Cooking,430
site_energy,phi_lighting,code_minumum,kWh,0,site_energy.phi_lighting,PHI Lighting,431
site_energy,phi_consumer_elec,code_minumum,kWh,60.5,site_energy.phi_consumer_elec,PHI Consumer Elec.,432
site_energy,phi_small_appliances,code_minumum,kWh,0,site_energy.phi_small_appliances,PHI Small Appliances,433
site_energy,phius_int_lighting,code_minumum,kWh,881.210460071,site_energy.phius_int_lighting,Phius Int. Lighting,434
site_energy,phius_ext_lighting,code_minumum,kWh,47.3936556642,site_energy.phius_ext_lighting,Phius Ext. Lighting,435
site_energy,phius_mel,code_minumum,kWh,2545.45813235,site_energy.phius_mel,Phius MEL,436
site_energy,aux_elec,code_minumum,kWh,4899.57205513,site_energy.aux_elec,Aux Elec,437
site_energy,solar_pv,code_minumum,kWh,0,site_energy.solar_pv,Solar PV,438
primary_energy,heating,code_minumum,kWh,49556.3064288,primary_energy.heating,Heating,441
phius_net_source_energy,heating,code_minumum,kWh,49556.3064288,primary_energy.heating,Heating,441
primary_energy,cooling,code_minumum,kWh,1860.73291696,primary_energy.cooling,Cooling,442
phius_net_source_energy,cooling,code_minumum,kWh,1860.73291696,primary_energy.cooling,Cooling,442
primary_energy,dhw,code_minumum,kWh,3790.1383968,primary_energy.dhw,DHW,443
phius_net_source_energy,dhw,code_minumum,kWh,3790.1383968,primary_energy.dhw,DHW,443
primary_energy,dishwashing,code_minumum,kWh,595.50975,primary_energy.dishwashing,Dishwashing,444
phius_net_source_energy,dishwashing,code_minumum,kWh,595.50975,primary_energy.dishwashing,Dishwashing,444
primary_energy,clothes_washing,code_minumum,kWh,780.225615,primary_energy.clothes_washing,Clothes Washing,445
phius_net_source_energy,clothes_washing,code_minumum,kWh,780.225615,primary_energy.clothes_washing,Clothes Washing,445
primary_energy,clothes_drying,code_minumum,kWh,22.2784425,primary_energy.clothes_drying,Clothes Drying,446
phius_net_source_energy,clothes_drying,code_minumum,kWh,22.2784425,primary_energy.clothes_drying,Clothes Drying,446
primary_energy,refrigerator,code_minumum,kWh,1314,primary_energy.refrigerator,Refrigerator,447
phius_net_source_energy,refrigerator,code_minumum,kWh,1314,primary_energy.refrigerator,Refrigerator,447
primary_energy,cooking,code_minumum,kWh,0,primary_energy.cooking,Cooking,448
phius_net_source_energy,cooking,code_minumum,kWh,0,primary_energy.cooking,Cooking,448
primary_energy,phi_lighting,code_minumum,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
phius_net_source_energy,phi_lighting,code_minumum,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
primary_energy,phi_consumer_elec,code_minumum,kWh,108.9,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
phius_net_source_energy,phi_consumer_elec,code_minumum,kWh,108.9,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
primary_energy,phi_small_appliances,code_minumum,kWh,0,primary_energy.phi_small_appliances,PHI Small Appliances,451
phius_net_source_energy,phi_small_appliances,code_minumum,kWh,0,primary_energy.phi_small_appliances,PHI Small Appliances,451
primary_energy,phius_int_lighting,code_minumum,kWh,1586.17882813,primary_energy.phius_int_lighting,Phius Int. Lighting,452
phius_net_source_energy,phius_int_lighting,code_minumum,kWh,1586.17882813,primary_energy.phius_int_lighting,Phius Int. Lighting,452
primary_energy,phius_ext_lighting,code_minumum,kWh,85.3085801955,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
phius_net_source_energy,phius_ext_lighting,code_minumum,kWh,85.3085801955,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
primary_energy,phius_mel,code_minumum,kWh,4581.82463824,primary_energy.phius_mel,Phius MEL,454
phius_net_source_energy,phius_mel,code_minumum,kWh,4581.82463824,primary_energy.phius_mel,Phius MEL,454
primary_energy,aux_elec,code_minumum,kWh,8819.22969924,primary_energy.aux_elec,Aux Elec,455
phius_net_source_energy,aux_elec,code_minumum,kWh,8819.22969924,primary_energy.aux_elec,Aux Elec,455
primary_energy,solar_pv,code_minumum,kWh,0,primary_energy.solar_pv,Solar PV,456
phius_net_source_energy,solar_pv,code_minumum,kWh,0,primary_energy.solar_pv,Solar PV,456
per,heating,code_minumum,kWh,50932.8704963,primary_energy_renewable.heating,Heating,520
per,cooling,code_minumum,kWh,1395.54968772,primary_energy_renewable.cooling,Cooling,521
per,dhw,code_minumum,kWh,2526.7589312,primary_energy_renewable.dhw,DHW,522
per,dishwashing,code_minumum,kWh,397.0065,primary_energy_renewable.dishwashing,Dishwashing,523
per,clothes_washing,code_minumum,kWh,520.15041,primary_energy_renewable.clothes_washing,Clothes Washing,524
per,clothes_drying,code_minumum,kWh,14.852295,primary_energy_renewable.clothes_drying,Clothes Drying,525
