row_type,room_name,amount,allocation_to_vent_unit,room_area_ft2,room_volume_ft3,room_height_ft,v_sup_high_cfm,v_eta_high_cfm,v_sup_med_cfm,v_eta_med_cfm,v_sup_low_cfm,v_eta_low_cfm,excel_row
room,01-Living,1,1,197.716098225,1621.27288037,8.20000442797,32.4675324675,0,25,0,0,0,31
room,02-Kitchen,1,1,398.131416275,3264.67937525,8.20000442797,0,64.9350649353,0,50.0000000002,0,0,32
room,03-Dining,1,1,197.716098225,1621.27288037,8.20000442797,32.4675324675,0,25,0,0,0,33
room,04-Owner Closet,1,1,97.428682928,798.915631146,8.20000442797,0,0,0,0,0,0,34
room,05-Owner Bedroom,1,1,184.114799043,1509.74216689,8.20000442797,64.9350649353,0,50.0000000002,0,0,0,35
room,06-Owner Bed Hall,1,1,113.768982892,932.90616316,8.20000442797,0,0,0,0,0,0,36
room,07-Owner Bath,1,1,119.750111708,981.951445917,8.20000442797,0,32.4675324675,0,25,0,0,37
room,08-Owner WC,1,1,30.5763124843,250.725897676,8.20000442797,0,32.4675324675,0,25,0,0,38
room,09-Half Bath,1,1,41.8641621172,343.286314616,8.20000442797,0,32.4675324675,0,25,0,0,39
room,10-Pantry,1,1,61.9166061529,507.716444444,8.20000442797,0,0,0,0,0,0,40
room,11-East Hall,1,1,115.34057378,945.793215395,8.20000442797,0,0,0,0,0,0,41
room,12-Mud/Laundry,1,1,138.102146724,1132.43821426,8.20000442797,0,0,0,0,0,0,42
room,13-Gym,1,1,206.487479106,1693.19824241,8.20000442797,32.4675324675,0,25,0,0,0,43
room,14-Casita Bedroom,1,1,124.040665465,1017.13400571,8.20000442797,32.4675324675,0,25,0,8.11688311688,0,44
room,15-Casita Bathroom,1,1,103.114322218,845.537898486,8.20000442797,0,32.4675324675,0,25,0,8.11688311688,45
room,16-Casita Living/Kitchen,1,1,132.182470035,1083.89683921,8.20000442797,0,32.4675324675,0,25,0,8.11688311688,46
room,17-Entry,1,1,40.5202026246,332.26584083,8.20000442797,0,0,0,0,0,0,47
room,20-Office,1,1,213.556757754,1751.16635861,8.20000442797,32.4675324675,0,25,0,0,0,48
room,21-Bathroom,1,1,77.6980837126,637.124630269,8.20000442797,0,32.4675324675,0,25,0,0,49
room,22-Bedroom,1,1,146.335140478,1199.94879947,8.20000442797,32.4675324675,0,25,0,0,0,50
total,Totals,,,2740.36111195,22470.9732445,,259.74025974,259.74025974,200,200,8.11688311688,16.2337662338,
