section,field_id,phpp_label,variant_id,variant_name,datatype,units,value,excel_row
geometry,geometry.tfa,TFA,code_minumum,Code Minumum,TFA,m2,254.58787792,316
geometry,geometry.tfa,TFA,improved,Improved,TFA,m2,254.58787792,316
geometry,geometry.tfa,TFA,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,TFA,m2,254.58787792,316
geometry,geometry.tfa,TFA,r_52_walls,+R-52 Walls,TFA,m2,254.58787792,316
geometry,geometry.tfa,TFA,r_80_roof,+R-80 Roof,TFA,m2,254.58787792,316
geometry,geometry.tfa,TFA,phius_core_2024,Phius CORE 2024,TFA,m2,254.58787792,316
geometry,geometry.vv,VV,code_minumum,Code Minumum,VV,m3,636.4696948,317
geometry,geometry.vv,VV,improved,Improved,VV,m3,636.4696948,317
geometry,geometry.vv,VV,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,VV,m3,636.4696948,317
geometry,geometry.vv,VV,r_52_walls,+R-52 Walls,VV,m3,636.4696948,317
geometry,geometry.vv,VV,r_80_roof,+R-80 Roof,VV,m3,636.4696948,317
geometry,geometry.vv,VV,phius_core_2024,Phius CORE 2024,VV,m3,636.4696948,317
geometry,geometry.vn50,Vn50,code_minumum,Code Minumum,Vn50,m3,750,318
geometry,geometry.vn50,Vn50,improved,Improved,Vn50,m3,750,318
geometry,geometry.vn50,Vn50,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Vn50,m3,750,318
geometry,geometry.vn50,Vn50,r_52_walls,+R-52 Walls,Vn50,m3,750,318
geometry,geometry.vn50,Vn50,r_80_roof,+R-80 Roof,Vn50,m3,750,318
geometry,geometry.vn50,Vn50,phius_core_2024,Phius CORE 2024,Vn50,m3,750,318
geometry,geometry.building_envelope_area,Building Envelope Area,code_minumum,Code Minumum,Building Envelope Area,m2,1115.56702395,319
geometry,geometry.building_envelope_area,Building Envelope Area,improved,Improved,Building Envelope Area,m2,1115.56702395,319
geometry,geometry.building_envelope_area,Building Envelope Area,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Building Envelope Area,m2,1115.56702395,319
geometry,geometry.building_envelope_area,Building Envelope Area,r_52_walls,+R-52 Walls,Building Envelope Area,m2,1115.56702395,319
geometry,geometry.building_envelope_area,Building Envelope Area,r_80_roof,+R-80 Roof,Building Envelope Area,m2,1115.56702395,319
geometry,geometry.building_envelope_area,Building Envelope Area,phius_core_2024,Phius CORE 2024,Building Envelope Area,m2,1115.56702395,319
geometry,geometry.gross_volume,Gross Volume,code_minumum,Code Minumum,Gross Volume,m3,975,320
geometry,geometry.gross_volume,Gross Volume,improved,Improved,Gross Volume,m3,975,320
geometry,geometry.gross_volume,Gross Volume,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Gross Volume,m3,975,320
geometry,geometry.gross_volume,Gross Volume,r_52_walls,+R-52 Walls,Gross Volume,m3,975,320
geometry,geometry.gross_volume,Gross Volume,r_80_roof,+R-80 Roof,Gross Volume,m3,975,320
geometry,geometry.gross_volume,Gross Volume,phius_core_2024,Phius CORE 2024,Gross Volume,m3,975,320
geometry,geometry.window_area_north,Window Area (North),code_minumum,Code Minumum,Window Area (North),m2,12.2621729961,321
geometry,geometry.window_area_north,Window Area (North),improved,Improved,Window Area (North),m2,12.2621729961,321
geometry,geometry.window_area_north,Window Area (North),r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Window Area (North),m2,12.2621729961,321
geometry,geometry.window_area_north,Window Area (North),r_52_walls,+R-52 Walls,Window Area (North),m2,12.2621729961,321
geometry,geometry.window_area_north,Window Area (North),r_80_roof,+R-80 Roof,Window Area (North),m2,12.2621729961,321
